neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,type,rating,bedroom,bed,bath
Amager Vest,55.66715,12.58081,Private room,800,3,333,125,Rental unit in Copenhagen · ★,4.85,1.0,1.0,
Brnshj-Husum,55.71164,12.5059,Private room,500,2,26,329,Home in Brønshøj  · ★,4.92,1.0,1.0,
Vanlse,55.69365,12.47458,Entire home/apt,1000,6,0,0,Bungalow in Vanløse ·,1.5,1.0,1.0,5.0
Brnshj-Husum,55.71088,12.50751,Private room,504,3,29,322,Home in Brønshøj · ★,4.79,1.0,1.0,
Indre By,55.68490219116211,12.586285591125488,Entire home/apt,650,7,10,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Valby,55.66744,12.493,Entire home/apt,1200,4,21,309,Condo in Valby · ★,4.65,3.0,3.0,1.0
Nrrebro,55.68676,12.5515,Private room,413,4,178,0,Rental unit in Copenhagen · ★,4.67,2.0,2.0,
Nrrebro,55.68992,12.56523,Entire home/apt,1192,4,35,180,Condo in Copenhagen · ★,4.88,1.0,1.0,1.0
Bispebjerg,55.71081,12.54369,Entire home/apt,380,4,93,0,Rental unit in Copenhagen · ★,4.66,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66945,12.5499,Entire home/apt,1489,2,24,7,Rental unit in Copenhagen · ★,4.75,3.0,3.0,1.0
Indre By,55.68282,12.55976,Entire home/apt,1050,5,1,216,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.6786,12.55948,Entire home/apt,1600,60,39,150,Rental unit in Copenhagen · ★,4.71,2.0,2.0,1.0
sterbro,55.7113,12.55654,Entire home/apt,1657,1,2,144,Townhouse in Copenhagen ·,,5.0,5.0,2.0
Vesterbro-Kongens Enghave,55.66756,12.55075,Entire home/apt,1105,30,11,56,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Indre By,55.67685,12.58813,Entire home/apt,4529,3,61,151,Condo in Copenhagen · ★,4.76,2.0,2.0,1.0
Amager st,55.65266,12.63972,Entire home/apt,3771,2,43,353,Home in Copenhagen · ★,4.85,3.0,3.0,2.0
Nrrebro,55.69019,12.56167,Entire home/apt,979,4,27,0,Rental unit in Copenhagen · ★,4.67,2.0,2.0,1.0
Indre By,55.67738,12.57508,Entire home/apt,1100,5,4,0,Rental unit in Copenhagen · ★,4.75,2.0,2.0,1.0
sterbro,55.70466,12.58439,Entire home/apt,1000,5,7,201,Rental unit in Copenhagen · ★,4.33,4.0,4.0,2.0
Vesterbro-Kongens Enghave,55.66607,12.55027,Entire home/apt,1200,7,19,72,Condo in Copenhagen · ★,4.89,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67005,12.54928,Entire home/apt,2100,3,21,103,Loft in Copenhagen · ★,4.89,4.0,4.0,2.0
Nrrebro,55.68934,12.56422,Entire home/apt,1000,90,14,89,Rental unit in Copenhagen · ★,4.4,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67031,12.54103,Entire home/apt,701,4,49,153,Rental unit in Copenhagen · ★,4.88,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66639,12.54657,Entire home/apt,800,6,20,9,Rental unit in Copenhagen · ★,4.8,1.0,1.0,1.0
Nrrebro,55.68917,12.56437,Entire home/apt,1400,3,10,88,Condo in Copenhagen · ★,4.78,1.0,1.0,1.0
Indre By,55.67424,12.59703,Entire home/apt,1400,1,118,281,Rental unit in Copenhagen · ★,4.64,1.0,1.0,1.0
Frederiksberg,55.67144,12.53327,Entire home/apt,1400,3,1,0,Rental unit in Frederiksberg ·,1.5,3.0,3.0,5.0
Vesterbro-Kongens Enghave,55.64638,12.54805,Entire home/apt,1900,3,21,334,Condo in Copenhagen · ★,4.86,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66746,12.55341,Entire home/apt,1043,4,69,181,Rental unit in Copenhagen · ★,4.67,2.0,2.0,1.0
Nrrebro,55.68737,12.54282,Entire home/apt,650,1,36,176,Condo in Copenhagen · ★,4.84,1.0,1.0,1.0
Amager st,55.66832,12.61391,Entire home/apt,1090,5,65,364,Rental unit in Copenhagen · ★,4.34,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66744,12.55291,Entire home/apt,1000,4,16,129,Rental unit in Copenhagen · ★,4.81,1.0,1.0,1.0
Indre By,55.68009,12.57909,Entire home/apt,1779,2,464,220,Rental unit in Copenhagen · ★,4.85,1.0,1.0,1.0
Amager Vest,55.66648,12.58271,Entire home/apt,1100,2,27,1,Rental unit in København S · ★,4.96,1.0,1.0,1.0
Nrrebro,55.68817,12.56324,Entire home/apt,1500,4,160,12,Rental unit in Copenhagen · ★,4.82,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66611,12.55368,Entire home/apt,750,4,16,0,Rental unit in Copenhagen · ★,4.07,1.0,1.0,1.0
Amager Vest,55.63389,12.58718,Entire home/apt,1495,1,70,7,Townhouse in Copenhagen · ★,4.83,2.0,2.0,1.0
