neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,type,rating,bedroom,bed,bath
sterbro,55.70556,12.5773,Entire home/apt,764,3,17,11,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager Vest,55.66254,12.60021,Entire home/apt,1186,2,59,85,Rental unit in Copenhagen · ★,4.46,1.0,1.0,1.0
Nrrebro,55.69154,12.55576,Entire home/apt,800,1,2,8,Condo in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.67348,12.59299,Entire home/apt,859,3,12,109,Condo in Copenhagen · ★,4.75,1.0,1.0,
Valby,55.66172,12.48993,Entire home/apt,939,1,38,18,Guesthouse in Copenhagen · ★,4.66,1.0,1.0,1.0
Valby,55.66722,12.50955,Entire home/apt,850,2,2,222,Rental unit in Copenhagen · ★New ·,,1.0,1.0,1.0
Nrrebro,55.69089,12.55921,Entire home/apt,1229,4,4,4,Rental unit in Copenhagen · ★,5.0,3.0,3.0,2.0
Vesterbro-Kongens Enghave,55.67167,12.54656,Private room,1082,1,1178,363,Hostel in Copenhagen · ★,4.88,1.0,1.0,
Nrrebro,55.68544,12.55922,Entire home/apt,500,3,9,9,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66902,12.55309,Entire home/apt,900,3,10,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,5.0
Frederiksberg,55.68384,12.53404,Entire home/apt,1600,2,2,0,Rental unit in Frederiksberg ·,,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66812,12.55171,Entire home/apt,765,3,55,5,Guest suite in Copenhagen · ★,4.98,1.0,1.0,1.0
Amager st,55.66221,12.61944,Entire home/apt,639,3,7,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66825,12.54834,Entire home/apt,2000,2,19,44,Rental unit in Copenhagen · ★,4.84,2.0,2.0,1.0
Indre By,55.68705,12.58344,Entire home/apt,8500,2,21,330,Rental unit in Copenhagen · ★,4.76,4.0,4.0,1.0
sterbro,55.69875,12.58602,Entire home/apt,1013,5,14,253,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager st,55.66003,12.6205,Entire home/apt,807,5,17,189,Rental unit in Copenhagen · ★,4.53,2.0,2.0,1.0
Frederiksberg,55.68636,12.53105,Private room,800,2,0,0,Rental unit in Frederiksberg ·,,1.0,1.0,
Valby,55.66561,12.51851,Private room,336,2,36,45,Rental unit in Copenhagen · ★,4.47,1.0,1.0,
Frederiksberg,55.68444,12.53104,Private room,570,2,0,0,Rental unit in Frederiksberg ·,,1.0,1.0,
Frederiksberg,55.68627,12.53083,Entire home/apt,1090,2,0,0,Rental unit in Frederiksberg ·,,2.0,2.0,1.0
Indre By,55.67484,12.59832,Entire home/apt,1508,3,20,15,Condo in Copenhagen · ★,4.7,1.0,1.0,1.0
Frederiksberg,55.687,12.53351,Entire home/apt,800,4,12,24,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
sterbro,55.70412,12.55841,Entire home/apt,686,2,11,18,Rental unit in Copenhagen · ★,4.64,1.0,1.0,1.0
sterbro,55.70587717160317,12.586013125449336,Entire home/apt,700,2,0,0,Condo in Copenhagen ·,,1.0,1.0,1.0
Vanlse,55.69197,12.48063,Entire home/apt,795,3,3,0,Condo in Copenhagen · ★,5.0,2.0,2.0,1.0
Amager Vest,55.66578,12.59775,Entire home/apt,843,2,19,4,Rental unit in Copenhagen · ★,4.68,1.0,1.0,1.0
sterbro,55.70082,12.58045,Entire home/apt,1357,4,3,303,Condo in Copenhagen · ★,5.0,3.0,3.0,1.0
Nrrebro,55.68917,12.56312,Private room,500,30,2,358,Rental unit in Copenhagen ·,,1.0,1.0,
Vesterbro-Kongens Enghave,55.66821,12.55798,Entire home/apt,1359,1,8,5,Rental unit in Copenhagen · ★,4.75,2.0,2.0,1.0
Frederiksberg,55.679847775440926,12.538299377228885,Private room,720,2,10,279,Rental unit in Frederiksberg · ★,4.8,1.0,1.0,
Frederiksberg,55.67825,12.51987,Entire home/apt,899,1,2,0,Rental unit in Frederiksberg · Studio ·,,,1.0,1.0
Bispebjerg,55.70109,12.53269,Entire home/apt,600,3,15,7,Rental unit in Copenhagen · ★,4.73,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67158,12.55158,Entire home/apt,1800,2,23,181,Rental unit in Copenhagen · ★,4.74,2.0,2.0,5.0
sterbro,55.71034,12.56328,Entire home/apt,590,4,3,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.715397,12.561776,Entire home/apt,1154,1,322,365,Serviced apartment in Copenhagen · ★,4.6,1.0,1.0,1.0
Nrrebro,55.69177,12.54399,Private room,500,4,0,0,Rental unit in Copenhagen ·,,1.0,1.0,
Indre By,55.670288,12.589029,Entire home/apt,1286,7,1,206,Loft in Copenhagen ·,,1.0,1.0,1.0
Frederiksberg,55.68669,12.53381,Entire home/apt,750,2,1,0,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
Frederiksberg,55.68597,12.53357,Entire home/apt,1200,2,26,0,Rental unit in Frederiksberg · ★,4.92,1.0,1.0,1.0
Frederiksberg,55.67596,12.52046,Entire home/apt,1300,2,17,34,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Frederiksberg,55.67697,12.50901,Entire home/apt,5700,5,1,27,Home in Frederiksberg ·,,6.0,6.0,2.0
Vanlse,55.68173,12.48419,Entire home/apt,729,2,64,30,Condo in Vanløse · ★,4.48,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67077,12.54637,Private room,450,1,3,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Bispebjerg,55.70809,12.53095,Private room,550,3,12,0,Rental unit in Copenhagen · ★,4.75,1.0,1.0,
Vesterbro-Kongens Enghave,55.66925,12.55277,Entire home/apt,1400,2,29,101,Rental unit in Copenhagen · ★,4.93,1.0,1.0,1.0
Frederiksberg,55.68575,12.53125,Entire home/apt,1200,2,1,0,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67015,12.53924,Entire home/apt,500,2,3,0,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
Amager st,55.666042,12.624946,Entire home/apt,1227,3,5,12,Rental unit in Copenhagen · ★,5.0,3.0,3.0,1.0
Vanlse,55.68101,12.48506,Entire home/apt,500,1,1,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.67779,12.56772,Entire home/apt,1329,5,33,24,Condo in Copenhagen · ★,4.97,1.0,1.0,1.0
Amager st,55.66403,12.60993,Entire home/apt,550,2,2,10,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Frederiksberg,55.67205,12.5366,Entire home/apt,1175,3,51,8,Condo in Frederiksberg · ★,5.0,2.0,2.0,1.0
Amager Vest,55.6663,12.58179,Entire home/apt,1095,3,0,0,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Amager Vest,55.61938,12.57244,Entire home/apt,900,4,2,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
sterbro,55.7027,12.58665,Entire home/apt,350,2,40,0,Condo in Copenhagen · ★,4.95,1.0,1.0,1.0
sterbro,55.69958,12.59199,Private room,580,6,7,30,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Frederiksberg,55.68633,12.53129,Entire home/apt,1200,5,9,0,Rental unit in Frederiksberg · ★,4.89,1.0,1.0,1.0
sterbro,55.70458,12.57984,Entire home/apt,900,2,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Frederiksberg,55.67862,12.53273,Entire home/apt,2000,5,2,33,Condo in Frederiksberg ·,1.5,3.0,3.0,5.0
Frederiksberg,55.67128,12.53696,Entire home/apt,1500,2,2,352,Condo in Frederiksberg ·,1.5,3.0,3.0,5.0
sterbro,55.70555,12.59108,Entire home/apt,1843,6,12,224,Rental unit in Copenhagen · ★,4.83,3.0,3.0,1.0
Amager Vest,55.66241,12.57269,Entire home/apt,1550,3,10,43,Rental unit in Copenhagen · ★,4.9,2.0,2.0,1.0
Frederiksberg,55.68417,12.54849,Entire home/apt,1000,5,0,0,Rental unit in Frederiksberg ·,,3.0,3.0,1.0
Frederiksberg,55.67877,12.54568,Entire home/apt,900,2,7,8,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Valby,55.65745,12.51168,Entire home/apt,656,2,3,94,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66989,12.55425,Entire home/apt,1600,2,26,75,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Indre By,55.68879,12.5657,Entire home/apt,2157,3,11,4,Condo in Copenhagen · ★,5.0,2.0,2.0,5.0
Nrrebro,55.68638,12.54667,Entire home/apt,850,2,25,16,Rental unit in Copenhagen · ★,4.76,1.0,1.0,1.0
sterbro,55.6955,12.57173,Entire home/apt,1058,2,0,0,Rental unit in Copenhagen ·,,2.0,2.0,1.0
sterbro,55.70823,12.59828,Entire home/apt,1716,3,36,30,Rental unit in Copenhagen · ★,4.69,3.0,3.0,1.0
sterbro,55.70464,12.57973,Entire home/apt,450,3,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager st,55.66365,12.6082,Entire home/apt,650,10,3,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Nrrebro,55.69757,12.55393,Entire home/apt,843,3,21,72,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.64591,12.55091,Entire home/apt,971,3,10,3,Rental unit in Copenhagen · ★,4.9,2.0,2.0,1.0
Frederiksberg,55.68502,12.53869,Entire home/apt,600,5,1,0,Rental unit in Frederiksberg ·,1.5,2.0,2.0,5.0
Indre By,55.68078,12.56281,Entire home/apt,995,2,0,0,Rental unit in Copenhagen · Studio ·,,,1.0,1.0
Vesterbro-Kongens Enghave,55.65071,12.52379,Entire home/apt,599,3,20,0,Condo in Copenhagen · ★,4.9,,1.0,1.0
Indre By,55.67786,12.56866,Entire home/apt,699,1,62,0,Condo in Copenhagen · ★,4.81,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66694,12.54022,Entire home/apt,2095,4,40,22,Rental unit in Copenhagen · ★,4.9,2.0,2.0,1.0
Amager Vest,55.64629,12.59614,Entire home/apt,1500,4,11,135,Home in Copenhagen · ★,5.0,2.0,2.0,1.0
sterbro,55.70182,12.58093,Entire home/apt,1000,2,6,3,Rental unit in Copenhagen · ★,4.83,1.0,1.0,1.0
Indre By,55.67156,12.57452,Entire home/apt,1000,1,14,0,Rental unit in Copenhagen · ★,4.93,1.0,1.0,1.0
Nrrebro,55.6875,12.54587,Entire home/apt,1200,2,5,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66786,12.54747,Entire home/apt,1200,4,16,88,Rental unit in Copenhagen · ★,4.69,1.0,1.0,5.0
Nrrebro,55.70167,12.54643,Entire home/apt,654,3,0,38,Rental unit in Copenhagen · ★New ·,,1.0,1.0,1.0
Amager st,55.66687,12.61723,Entire home/apt,400,5,1,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager st,55.66646,12.59932,Private room,675,1,1,148,Rental unit in Copenhagen ·,,1.0,1.0,
Indre By,55.6713145,12.5874251,Entire home/apt,2071,20,14,177,Condo in Copenhagen · ★,5.0,2.0,2.0,1.0
sterbro,55.69934,12.58139,Entire home/apt,950,4,8,0,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Nrrebro,55.69026,12.54419,Entire home/apt,750,1,3,0,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Indre By,55.68377,12.58652,Private room,799,1,84,19,Rental unit in Copenhagen · ★,4.77,1.0,1.0,
Vesterbro-Kongens Enghave,55.67188,12.55802,Shared room,261,1,345,106,Hostel in Copenhagen · ★,4.84,1.0,1.0,
Amager st,55.66544,12.60595,Entire home/apt,750,3,19,183,Rental unit in Copenhagen · ★,4.89,1.0,1.0,1.0
Indre By,55.68233,12.57225,Private room,519,1,141,256,Rental unit in Copenhagen · ★,4.55,1.0,1.0,
Indre By,55.68121,12.5887,Entire home/apt,1000,2,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager Vest,55.6554,12.59631,Entire home/apt,750,3,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.67933,12.56114,Entire home/apt,1838,1,20,300,Serviced apartment in Copenhagen · ★,4.55,1.0,1.0,1.0
sterbro,55.71074,12.5701,Entire home/apt,1000,2,10,48,Rental unit in Copenhagen · ★,4.8,2.0,2.0,1.0
Amager st,55.6631,12.61765,Private room,700,4,8,0,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Valby,55.6552,12.5043,Entire home/apt,800,14,1,0,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.69211,12.54399,Entire home/apt,2700,2,8,29,Rental unit in Copenhagen · ★,4.88,3.0,3.0,1.0
Indre By,55.68546,12.59169,Entire home/apt,1000,1,1,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Nrrebro,55.70756,12.55513,Entire home/apt,1000,4,31,18,Rental unit in Copenhagen · ★,4.74,1.0,1.0,1.0
Bispebjerg,55.69976,12.53073,Entire home/apt,850,2,26,15,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager Vest,55.65871,12.5683,Entire home/apt,1266,5,0,0,Loft in Copenhagen · Studio ·,1.5,,1.0,5.0
Amager st,55.64855,12.62913,Private room,146,2,8,0,Villa in Copenhagen · ★,4.88,1.0,1.0,
Vesterbro-Kongens Enghave,55.67219,12.54549,Private room,580,1,7,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Frederiksberg,55.67889,12.52958,Entire home/apt,500,1,3,0,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Amager Vest,55.62638,12.57152,Entire home/apt,800,4,2,2,Home in Copenhagen ·,,3.0,3.0,1.0
Indre By,55.67077,12.58642,Entire home/apt,1000,6,29,9,Rental unit in Copenhagen · ★,4.79,1.0,1.0,1.0
Indre By,55.67828,12.56137,Entire home/apt,2039,1,45,333,Rental unit in Copenhagen · ★,4.73,2.0,2.0,1.0
Indre By,55.69457,12.57767,Entire home/apt,1200,2,2,0,Townhouse in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.67946,12.56254,Entire home/apt,1500,2,13,0,Rental unit in Copenhagen · ★,4.46,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.6586,12.53934,Entire home/apt,1147,3,18,180,Rental unit in Copenhagen · ★,4.94,1.0,1.0,1.0
Nrrebro,55.69191,12.54207,Entire home/apt,500,2,11,0,Rental unit in Copenhagen · ★,4.64,1.0,1.0,1.0
Indre By,55.68058,12.56251,Entire home/apt,974,3,45,207,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
Bispebjerg,55.70124,12.52908,Entire home/apt,1200,2,15,13,Rental unit in Copenhagen · ★,4.87,2.0,2.0,1.0
Frederiksberg,55.67451,12.54407,Private room,400,1,0,0,Rental unit in Frederiksberg ·,,1.0,1.0,
Vesterbro-Kongens Enghave,55.6491,12.55089,Private room,199,1,2,0,Rental unit in Copenhagen ·,,1.0,1.0,
Indre By,55.6895,12.57426,Entire home/apt,1200,24,3,19,Townhouse in Copenhagen · ★,5.0,3.0,3.0,5.0
Vesterbro-Kongens Enghave,55.66601,12.55523,Entire home/apt,1500,1,7,318,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66657,12.54944,Private room,409,3,60,10,Rental unit in Copenhagen · ★,4.65,1.0,1.0,
Indre By,55.67510986328125,12.574283599853516,Entire home/apt,1633,2,81,303,Rental unit in Copenhagen · ★,4.47,12.0,12.0,1.0
Nrrebro,55.69005,12.56287,Entire home/apt,2029,5,5,139,Condo in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67172,12.54541,Entire home/apt,1450,1,5,1,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Amager Vest,55.6576,12.59964,Entire home/apt,370,3,1,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
sterbro,55.70254,12.57435,Entire home/apt,1885,2,8,140,Townhouse in Copenhagen · ★,5.0,3.0,3.0,1.0
Amager st,55.66182,12.60872,Entire home/apt,1050,3,4,1,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Nrrebro,55.6924,12.54209,Entire home/apt,889,2,65,0,Rental unit in Copenhagen · ★,4.62,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.65842,12.53779,Entire home/apt,829,2,36,10,Rental unit in Copenhagen · ★,4.86,1.0,1.0,1.0
Nrrebro,55.69262,12.56102,Entire home/apt,950,5,13,95,Rental unit in Copenhagen · ★,4.92,1.0,1.0,1.0
Amager st,55.66189,12.6246,Entire home/apt,650,3,0,1,Rental unit in Copenhagen ·,,3.0,3.0,1.0
Indre By,55.67919,12.57781,Entire home/apt,2707,2,76,94,Serviced apartment in Copenhagen · ★,4.49,2.0,2.0,1.0
Nrrebro,55.69868,12.55123,Entire home/apt,999,3,34,323,Rental unit in Copenhagen · ★,4.88,1.0,1.0,1.0
Valby,55.6572,12.50245,Entire home/apt,490,1,6,0,Rental unit in Copenhagen · ★,3.83,,3.0,1.0
Nrrebro,55.69067,12.56118,Private room,400,2,10,3,Rental unit in Copenhagen · ★,4.7,1.0,1.0,
Vesterbro-Kongens Enghave,55.66968,12.54247,Entire home/apt,900,2,12,83,Rental unit in Copenhagen · ★,4.5,1.0,1.0,5.0
Bispebjerg,55.70145,12.53258,Private room,400,1,23,0,Condo in Copenhagen · ★,4.87,1.0,1.0,
Frederiksberg,55.67877,12.50589,Private room,200,60,0,0,Rental unit in Frederiksberg ·,,1.0,1.0,
Nrrebro,55.6845,12.55719,Entire home/apt,821,1,1,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Nrrebro,55.68846,12.56211,Entire home/apt,1400,21,1,91,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.67689,12.57649,Entire home/apt,1740,2,29,0,Serviced apartment in Copenhagen · ★,4.45,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.65666,12.53519,Entire home/apt,900,5,12,0,Rental unit in Copenhagen · ★,4.92,1.0,1.0,1.0
Valby,55.66218,12.48089,Private room,480,12,0,0,Rental unit in Copenhagen ·,,1.0,1.0,
Indre By,55.68431,12.5723,Entire home/apt,1207,5,5,0,Condo in Copenhagen · ★,5.0,2.0,2.0,1.0
Frederiksberg,55.67532,12.55372,Entire home/apt,1800,4,4,52,Rental unit in Frederiksberg · ★,5.0,4.0,4.0,1.0
Vesterbro-Kongens Enghave,55.66591,12.54089,Private room,750,10,4,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Bispebjerg,55.70769,12.53757,Entire home/apt,450,2,3,0,Rental unit in Copenhagen · ★,4.67,3.0,3.0,1.0
Nrrebro,55.69529,12.54479,Private room,450,2,2,0,Rental unit in Copenhagen ·,,1.0,1.0,
Indre By,55.68404,12.58733,Entire home/apt,495,150,2,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Nrrebro,55.6974,12.54627,Entire home/apt,900,2,4,12,Rental unit in Copenhagen · ★,5.0,1.0,1.0,2.0
sterbro,55.70886,12.55904,Entire home/apt,3429,6,14,55,Townhouse in Copenhagen · ★,5.0,5.0,5.0,5.0
Vesterbro-Kongens Enghave,55.67177,12.54863,Private room,500,2,0,0,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Amager Vest,55.66289,12.60097,Entire home/apt,900,2,11,130,Condo in Copenhagen · ★,4.91,1.0,1.0,1.0
Amager Vest,55.64735,12.58688,Entire home/apt,1886,2,16,9,Home in Copenhagen · ★,4.94,4.0,4.0,1.0
Amager Vest,55.65546,12.60366,Entire home/apt,1000,3,1,0,Condo in Copenhagen ·,,2.0,2.0,1.0
Frederiksberg,55.68553,12.53614,Entire home/apt,1400,2,4,0,Condo in Frederiksberg · ★,4.75,1.0,1.0,1.0
Indre By,55.67749,12.57505,Private room,350,3,27,0,Townhouse in Copenhagen · ★,4.7,1.0,1.0,
Indre By,55.68968,12.57322,Entire home/apt,1071,1,15,0,Condo in Copenhagen · ★,4.8,1.0,1.0,1.0
Valby,55.65208,12.49019,Entire home/apt,400,1,1,0,Rental unit in Copenhagen · Studio ·,,,1.0,1.0
Indre By,55.67746353149414,12.581851959228516,Entire home/apt,1584,2,119,327,Rental unit in Copenhagen · ★,4.29,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.6584211,12.5351914,Entire home/apt,750,2,1,153,Rental unit in Copenhagen · ★New · Studio ·,,,1.0,1.0
Indre By,55.68809,12.61128,Entire home/apt,2979,3,3,0,Houseboat in København K · ★,5.0,3.0,3.0,2.0
Frederiksberg,55.67834,12.53398,Entire home/apt,975,5,0,13,Rental unit in Frederiksberg ·,,2.0,2.0,1.0
Nrrebro,55.70001169802592,12.545898891985416,Entire home/apt,843,3,11,184,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Nrrebro,55.70116,12.54567,Entire home/apt,750,4,6,0,Rental unit in Copenhagen · ★,4.5,2.0,2.0,1.0
Indre By,55.67607,12.57696,Private room,350,3,26,0,Townhouse in Copenhagen · ★,4.69,1.0,1.0,
Bispebjerg,55.7012,12.52894,Entire home/apt,900,1,40,25,Condo in Copenhagen · ★,4.9,1.0,1.0,1.0
Amager st,55.65256,12.61252,Entire home/apt,850,2,7,42,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager Vest,55.62001,12.56764,Entire home/apt,650,4,0,0,Condo in Copenhagen ·,,2.0,2.0,1.0
Valby,55.653,12.48753,Private room,400,92,0,365,Rental unit in Copenhagen ·,,1.0,1.0,
Nrrebro,55.70321,12.54484,Entire home/apt,799,6,0,20,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Bispebjerg,55.70702,12.5244,Private room,511,1,0,34,Condo in Copenhagen · ★New ·,,1.0,1.0,
sterbro,55.70159,12.58072,Entire home/apt,1200,2,0,0,Rental unit in Copenhagen ·,,3.0,3.0,1.0
Indre By,55.67611,12.57641,Private room,310,3,29,0,Townhouse in Copenhagen · ★,4.59,1.0,1.0,
Nrrebro,55.70209,12.54919,Entire home/apt,900,6,5,4,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Indre By,55.67612,12.57648,Private room,350,3,19,0,Townhouse in Copenhagen · ★,4.63,1.0,1.0,
Frederiksberg,55.69503,12.5303,Entire home/apt,417,10,7,4,Rental unit in Frederiksberg · ★,4.86,2.0,2.0,1.0
Nrrebro,55.6940231,12.5441557,Entire home/apt,875,2,2,8,Condo in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.64673652559202,12.54756808645937,Entire home/apt,1035,4,15,8,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Nrrebro,55.69452,12.54304,Entire home/apt,550,1,3,0,Condo in Copenhagen · ★,4.67,1.0,1.0,1.0
Valby,55.65658,12.51326,Entire home/apt,700,1,2,0,Rental unit in Copenhagen ·,1.5,2.0,2.0,5.0
Nrrebro,55.68861,12.54567,Entire home/apt,1400,3,6,182,Rental unit in Copenhagen · ★,5.0,2.0,2.0,5.0
Indre By,55.69148,12.57534,Entire home/apt,1334,5,4,11,Condo in Copenhagen · ★,5.0,3.0,3.0,1.0
sterbro,55.7075,12.56008,Entire home/apt,850,5,9,118,Rental unit in Copenhagen · ★,4.78,1.0,1.0,1.0
Amager Vest,55.63208,12.57173,Private room,1500,10,0,173,Rental unit in Copenhagen ·,,1.0,1.0,
Vesterbro-Kongens Enghave,55.67023,12.54423,Entire home/apt,1000,2,0,0,Rental unit in Copenhagen ·,,4.0,4.0,1.0
Brnshj-Husum,55.70789,12.50047,Entire home/apt,2216,3,1,60,Home in Copenhagen ·,,3.0,3.0,2.0
sterbro,55.7285,12.56403,Entire home/apt,995,2,0,88,Rental unit in Hellerup ·,,1.0,1.0,1.0
Amager Vest,55.6205779,12.5709826,Entire home/apt,2793,1,0,335,Rental unit in Copenhagen ·,,1.0,1.0,0.0
sterbro,55.7005,12.58005,Private room,223,3,0,0,Condo in Copenhagen ·,,1.0,1.0,
Nrrebro,55.69356,12.56483,Entire home/apt,685,5,3,0,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Frederiksberg,55.672,12.54185,Entire home/apt,1100,4,8,263,Condo in Frederiksberg · ★,4.13,1.0,1.0,1.0
sterbro,55.72266,12.56156,Private room,450,3,0,11,Rental unit in Copenhagen · Studio ·,,,1.0,
Amager st,55.66193,12.60396,Entire home/apt,889,1,6,2,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Nrrebro,55.69283,12.55163,Entire home/apt,350,3,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66407,12.55581,Private room,400,2,4,0,Condo in Copenhagen · ★,5.0,1.0,1.0,
Amager Vest,55.63155,12.58758,Private room,488,2,2,249,Rental unit in Copenhagen ·,,2.0,2.0,
Vanlse,55.69748,12.49791,Entire home/apt,900,2,41,0,Rental unit in Copenhagen · ★,4.9,,1.0,1.0
Amager st,55.66247,12.60975,Entire home/apt,821,2,2,68,Condo in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.651,12.55542,Entire home/apt,2100,4,6,3,Rental unit in Copenhagen · ★,5.0,3.0,3.0,5.0
Amager Vest,55.66878,12.57999,Entire home/apt,799,3,0,0,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67176,12.55826,Entire home/apt,850,4,4,0,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Indre By,55.67662,12.57477,Private room,390,3,21,0,Townhouse in Copenhagen · ★,4.67,1.0,1.0,
Frederiksberg,55.67578,12.53943,Entire home/apt,600,2,1,0,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
Nrrebro,55.70133,12.55204,Entire home/apt,375,4,3,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager st,55.65326,12.62139,Entire home/apt,700,4,25,0,Loft in Copenhagen · ★,4.8,2.0,2.0,1.0
Frederiksberg,55.67274,12.54423,Entire home/apt,900,4,11,0,Condo in Copenhagen · ★,4.82,1.0,1.0,1.0
Amager Vest,55.6236519,12.5712645,Entire home/apt,7440,1,0,0,Rental unit in Copenhagen ·,,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.6488244,12.5521885,Entire home/apt,7440,1,0,0,Rental unit in Copenhagen ·,,3.0,3.0,1.0
Amager st,55.66119,12.60783,Entire home/apt,750,3,13,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager Vest,55.6236519,12.5712645,Entire home/apt,2779,1,0,75,Rental unit in Copenhagen ·,,1.0,1.0,1.0
sterbro,55.70644,12.5607,Private room,850,5,2,271,Rental unit in Copenhagen ·,,1.0,1.0,
Vesterbro-Kongens Enghave,55.66975,12.54421,Entire home/apt,745,3,0,0,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Frederiksberg,55.68265,12.535,Private room,477,1,0,0,Rental unit in Frederiksberg ·,1.5,1.0,1.0,
Indre By,55.67956,12.60265,Entire home/apt,1857,3,38,24,Houseboat in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67013,12.56003,Entire home/apt,948,2,13,3,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.668,12.54251,Entire home/apt,989,7,0,43,Rental unit in Copenhagen · ★New ·,,1.0,1.0,1.0
