id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
679437371975780023,Rental unit in Copenhagen · 1 bedroom · 2 beds · 1 private bath,112934261,Sofie,,Bispebjerg,55.7018396,12.5319685,Private room,500,4,1,2022-08-10,0.09,1,0,1,
682569033517934777,Condo in Copenhagen · ★5.0 · 2 bedrooms · 1 bed · 1 bath,3322892,Oana,,Nrrebro,55.69619980544266,12.54579630429915,Entire home/apt,1200,3,3,2023-04-07,0.28,1,4,3,
679462845078543220,Condo in Copenhagen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,7619486,Nikolaj,,Bispebjerg,55.70547112456897,12.53074782173233,Entire home/apt,1000,3,3,2022-10-02,0.28,1,282,3,
682643833854800273,Townhouse in Copenhagen · 3 bedrooms · 3 beds · 1.5 baths,5093093,Katrine,,Amager st,55.6586656,12.6164357,Entire home/apt,1750,4,2,2023-04-11,0.24,2,0,2,
682980802468322492,Condo in Copenhagen · 1 bedroom · 1 bed · 1 bath,472467164,Emil,,Nrrebro,55.69854,12.55429,Entire home/apt,1000,2,2,2022-08-14,0.19,1,119,2,
682998442898179965,Condo in Copenhagen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,58897374,Maria,,Nrrebro,55.69386859999999,12.5609516,Entire home/apt,1200,3,4,2023-03-12,0.39,1,2,4,
679567286355273533,Rental unit in Copenhagen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,14528134,Anela,,sterbro,55.72091,12.57945,Entire home/apt,1200,2,6,2023-04-09,0.55,1,238,6,
679568723931578664,Rental unit in Copenhagen · 2 bedrooms · 3 beds · 1 bath,187610263,ApartmentinCopenhagen,,Indre By,55.69149,12.57188,Entire home/apt,1944,1,2,2022-10-19,0.18,174,179,2,
683022567393306628,Condo in Copenhagen · ★4.68 · 1 bedroom · 1 bed · 1 bath,28694328,Carsten,,Indre By,55.687939,12.5911663,Entire home/apt,1250,3,25,2023-06-15,2.27,1,348,25,
683052473377318307,Condo in Copenhagen · 1 bedroom · 1 bed · 1 bath,295353406,Nica,,Nrrebro,55.69451,12.54469,Entire home/apt,1700,2,2,2023-01-04,0.22,1,248,2,
679573081303352663,Condo in Copenhagen · ★4.86 · 3 bedrooms · 4 beds · 2 baths,59424781,Denise,,Amager Vest,55.66715963112084,12.581973597407341,Entire home/apt,3157,3,21,2023-06-20,2.12,1,118,21,
679594898602380435,Rental unit in Copenhagen · 1 bedroom · 1 bed · 1 bath,14808876,Josefine,,Indre By,55.6890061,12.5830882,Entire home/apt,1550,3,2,2022-08-12,0.18,1,10,2,
683127764127427832,Condo in Copenhagen · 2 bedrooms · 2 beds · 1 bath,229422316,Louise,,Nrrebro,55.69237023989676,12.546393424272537,Entire home/apt,999,3,2,2022-10-31,0.18,1,4,2,
679634318328937638,Condo in Copenhagen · 1 bedroom · 2 beds · 1 bath,89241003,Sonja,,Nrrebro,55.69536,12.54637,Entire home/apt,1000,5,2,2022-08-28,0.19,1,0,2,
679637433809265169,Condo in Copenhagen · ★4.89 · 1 bedroom · 1 bed · 1 bath,3244038,Cecilie Liv,,Vesterbro-Kongens Enghave,55.66587,12.54737,Entire home/apt,800,5,9,2023-04-08,0.92,1,0,9,
683131769361741702,Condo in Copenhagen · 2 bedrooms · 4 beds · 1 bath,200585522,Katrine,,Vesterbro-Kongens Enghave,55.6498283,12.5270767,Entire home/apt,779,3,1,2023-06-12,1,1,50,1,
679651476820895204,Condo in Copenhagen · ★4.27 · 1 bedroom · 1 bed · 1 bath,53700277,Seth Storm,,Valby,55.67161,12.48319,Entire home/apt,650,10,11,2023-06-02,1.00,1,84,11,
683135406703224875,Condo in Copenhagen · 1 bedroom · 1 bed · 1 bath,9456229,Tina,,Vesterbro-Kongens Enghave,55.6646466,12.5482296,Entire home/apt,950,5,0,,,1,105,0,
679685162518473045,Rental unit in Copenhagen · 1 bedroom · 1 bed · 1 bath,44846440,Simone,,Indre By,55.68204,12.57447,Entire home/apt,1950,3,2,2023-05-01,0.20,1,349,2,
683159511957218478,Condo in Copenhagen · ★4.70 · 1 bedroom · 1 bed · 1 bath,50168922,Peter,,Indre By,55.68366,12.58849,Entire home/apt,1600,16,20,2023-06-19,2.02,2,225,20,
679700895866963616,Condo in Copenhagen · 1 bedroom · 1 bed · 1 bath,34591637,Caroline,,sterbro,55.71857,12.57863,Entire home/apt,1500,4,0,,,1,0,0,
683194116347865282,Condo in Copenhagen · ★4.94 · 1 bedroom · 1 bed · 1 bath,472521379,Allan,,Vesterbro-Kongens Enghave,55.66531209999999,12.5416345,Entire home/apt,900,4,18,2023-06-25,1.73,1,179,18,
679771203153750317,Condo in Copenhagen · ★4.67 · 1 bedroom · 1 bed · 1 bath,336506140,Jonas Emanuel,,Nrrebro,55.69902078793944,12.552676163613796,Entire home/apt,770,4,3,2022-11-07,0.28,1,8,3,
683236106055250218,Condo in Copenhagen · ★4.77 · 1 bedroom · 1 bed · 1 bath,43317969,Maria Louise,,Vesterbro-Kongens Enghave,55.64529,12.55171,Entire home/apt,1057,2,13,2023-05-08,1.20,1,4,13,
679777185988289255,Condo in Copenhagen · ★4.67 · 1 bedroom · 1 bed · 1 bath,59040200,Simon,,Indre By,55.6911,12.57383,Entire home/apt,3157,2,6,2023-06-20,0.55,1,180,6,
683252587421197753,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,446093735,Davide,,Bispebjerg,55.71002,12.52829,Entire home/apt,800,3,3,2023-05-07,0.28,1,47,3,
683255232153496439,Condo in Copenhagen · 2 bedrooms · 1 bed · 1 bath,252348481,Thomas,,sterbro,55.71142,12.56535,Entire home/apt,1000,1,1,2022-10-03,0.11,1,0,1,
680090028964726390,Condo in Copenhagen · ★4.78 · 1 bedroom · 1 bed · 1 bath,97427012,Sander,,Vesterbro-Kongens Enghave,55.6658157,12.5430669,Entire home/apt,990,7,9,2023-06-04,0.97,1,7,9,
683260962633360317,Condo in Frederiksberg · ★5.0 · 1 bedroom · 1 bed · 1 bath,28798643,Kasper,,Frederiksberg,55.68722811275746,12.53061735476642,Entire home/apt,1550,2,5,2023-05-29,0.46,1,141,5,
680095521263210234,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,61903230,Louise Due,,Nrrebro,55.68763992595085,12.54467211663723,Entire home/apt,993,1,10,2023-06-12,0.92,1,303,10,
683300816298787696,Condo in Copenhagen · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,14006003,Rukhsana,,Valby,55.6559366,12.5050014,Private room,500,3,9,2023-06-19,0.84,1,2,9,
683306518492143108,Condo in Copenhagen · 1 bedroom · 1 bed · 1 bath,15667070,Josefine,,Amager Vest,55.66345,12.58008,Entire home/apt,889,6,0,,,1,175,0,
680097160038740986,Condo in Copenhagen · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,42590240,Jeppe,,sterbro,55.70253372649694,12.588544999999982,Private room,500,2,26,2023-05-22,2.37,2,256,26,
683328347003187849,Condo in Copenhagen · ★4.56 · 1 bedroom · 1 bed · 1 bath,39333910,Louise,,Bispebjerg,55.7011,12.5305,Entire home/apt,770,2,9,2023-06-11,0.82,1,0,9,
680111399926751144,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,209487492,Carla,,Nrrebro,55.6876092,12.5438381,Entire home/apt,1200,2,3,2023-04-16,0.28,1,335,3,
683358760338336977,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,3682756,Hans Henrik,,Indre By,55.68171,12.57504,Private room,575,1,17,2023-06-17,1.60,1,303,17,
680124220726155420,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,18623031,Kenni,,Frederiksberg,55.68449,12.5518,Entire home/apt,1375,3,14,2023-01-21,1.47,1,73,14,
683358826146456466,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,22296785,Hans Kristian,,Nrrebro,55.699570045764666,12.539961182463259,Entire home/apt,730,2,4,2023-04-09,0.97,1,102,4,
683705656549621562,Condo in Copenhagen · ★4.86 · 1 bedroom · 1 bed · 1 bath,443415860,Lise,,Vesterbro-Kongens Enghave,55.64847,12.53062,Entire home/apt,993,2,14,2023-06-23,1.34,1,16,14,
680181866303656682,Rental unit in Copenhagen · 2 bedrooms · 2 beds · 1 bath,471807653,Mads,,Indre By,55.686313694515285,12.58477558857459,Entire home/apt,1400,10,0,,,1,322,0,
680203967255867792,Condo in Copenhagen · 4 bedrooms · 4 beds · 1 bath,7759662,Nauja,,sterbro,55.7089831,12.5799531,Entire home/apt,2500,3,1,2023-03-19,0.29,1,86,1,
683735320732732907,Condo in Copenhagen · ★4.80 · 1 bedroom · 2 beds · 1 bath,472060939,Michelle,,sterbro,55.707783859355715,12.583712004125118,Entire home/apt,1400,1,10,2023-06-11,1.03,1,360,10,
683748747701478786,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,265162295,Jens Peder,,Nrrebro,55.69681809999999,12.5399321,Entire home/apt,900,3,5,2023-06-21,0.49,1,16,5,
680232819214477896,Condo in Copenhagen · ★5.0 · 1 bedroom · 2 beds · 1 bath,83974296,Natascha,,sterbro,55.70568901556031,12.585289753461366,Entire home/apt,1300,2,4,2023-05-22,0.83,1,204,4,
683777003126064637,Condo in Frederiksberg · 3 bedrooms · 1 bed · 1 bath,472671478,Sofie,,Frederiksberg,55.68216351021438,12.55053502856582,Entire home/apt,2000,3,1,2023-04-08,0.36,1,18,1,
680247164774082176,Rental unit in Copenhagen · 1 bedroom · 1 bed · 1 shared bath,4222945,Daniel,,Indre By,55.68529,12.58814,Private room,850,3,2,2022-09-10,0.20,1,343,2,
680248004636015961,Rental unit in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,60962236,Louise,,Bispebjerg,55.70109,12.53065,Entire home/apt,999,2,7,2023-06-12,3.00,1,209,7,
683792389615418408,Condo in Copenhagen · ★5.0 · 1 bedroom · 2 beds · 1 bath,63921124,Mathias,,Nrrebro,55.692833406196975,12.54688996821642,Entire home/apt,1064,1,3,2023-06-11,0.28,1,0,3,
680248774468668169,Rental unit in Frederiksberg · ★4.75 · 1 bedroom · 3 beds · 1 bath,36452901,Gael,,Frederiksberg,55.690955321008836,12.535499742327865,Entire home/apt,943,2,28,2023-06-09,2.75,1,21,28,
683853355360405202,Condo in Copenhagen · ★4.55 · 1 bedroom · 1 bed · 2 shared baths,339983201,Prashanth,,Indre By,55.68078,12.57096,Private room,579,1,88,2023-06-25,8.07,9,325,88,
680275095812939850,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,9775080,Mia,,sterbro,55.70796,12.59889,Entire home/apt,1371,2,10,2023-06-12,1.07,1,226,10,
683881326952565405,Condo in Copenhagen · 2 bedrooms · 2 beds · 1 bath,93497395,Frederikke,,Indre By,55.69233,12.58164,Entire home/apt,1593,1,2,2022-08-07,0.18,1,286,2,
680285833943900672,Home in Copenhagen · 3 bedrooms · 3 beds · 1 bath,471835069,Rikke,,Valby,55.6497969,12.4949308,Entire home/apt,750,2,0,,,1,7,0,
683953374353611244,Condo in Copenhagen · ★4.67 · 1 bedroom · 1 bed · 1 bath,157126022,Embla,,Nrrebro,55.70341778220493,12.548087239265442,Entire home/apt,764,4,6,2023-05-08,0.59,1,17,6,
680332405083776130,Townhouse in Copenhagen · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,209034732,Lily,,Indre By,55.6857902,12.6147687,Entire home/apt,2500,2,5,2023-05-29,0.45,1,207,5,
683961985083678884,Condo in Copenhagen · ★4.75 · 2 bedrooms · 2 beds · 1 bath,472711550,Oliver,,Indre By,55.682066601513206,12.572087310254574,Entire home/apt,1734,4,4,2023-05-29,0.37,1,340,4,
680357646114847809,Condo in Copenhagen · ★3.33 · 1 bedroom · 2 beds · 1 bath,471863647,Jens,,Nrrebro,55.69467,12.55195,Entire home/apt,1150,2,3,2023-04-30,0.28,1,364,3,
680368183228993513,Villa in Copenhagen · 3 bedrooms · 5 beds · 1 bath,21852799,Jane,,Brnshj-Husum,55.70632,12.4824,Entire home/apt,1100,4,0,,,1,271,0,
684002296427049966,Condo in Copenhagen · 1 bedroom · 1 bed · 1 bath,425693987,Benedicte,,sterbro,55.694061,12.570158,Entire home/apt,1500,1,1,2022-08-22,0.10,1,329,1,
680465348808330188,Condo in Copenhagen · 2 bedrooms · 2 beds · 1 bath,16318538,Christina,,sterbro,55.70742,12.58493,Entire home/apt,1400,4,1,2022-08-02,0.09,2,16,1,
684004021929001355,Condo in Copenhagen · 1 bedroom · 2 beds · 1 bath,92300672,Farideh,,Vesterbro-Kongens Enghave,55.64537,12.55105,Entire home/apt,2000,3,0,,,1,332,0,
684087366250305534,Rental unit in Copenhagen · ★4.84 · 1 bedroom · 1 bed · 1 bath,3583841,Natalie Anne,,Bispebjerg,55.70538,12.53177,Entire home/apt,750,2,19,2023-06-05,1.86,2,2,19,
680716563822111343,Condo in Copenhagen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,471958531,Mie,,sterbro,55.70184,12.59038,Entire home/apt,1400,3,6,2023-06-03,0.56,1,81,6,
684112107226336058,Condo in Copenhagen · ★4.91 · 3 bedrooms · 4 beds · 1 bath,140728570,Nicolai,,Indre By,55.69606,12.58055,Entire home/apt,2200,1,56,2023-06-12,5.12,1,53,56,
680809284421542033,Condo in Copenhagen · ★4.0 · 2 bedrooms · 2 beds · 1 bath,67877769,Signe,,Vesterbro-Kongens Enghave,55.66784,12.55643,Entire home/apt,2000,1,3,2022-10-02,0.28,1,0,3,
684411742670064727,Condo in Copenhagen · 1 bedroom · 4 beds · 1 bath,12899047,Frederikke Berg,,sterbro,55.70711,12.58677,Entire home/apt,1100,4,2,2022-08-27,0.19,1,0,2,
684447780597393368,Condo in Frederiksberg · 1 bedroom · 1 bed · 1 bath,142294926,Nanna,,Frederiksberg,55.6868119,12.5375153,Entire home/apt,871,2,2,2022-12-12,0.22,1,289,2,
680848804937297957,Condo in Copenhagen · ★4.62 · 1 bedroom · 2 beds · 1 bath,234100570,Line,,Indre By,55.67719,12.57467,Entire home/apt,701,2,21,2023-03-30,2.05,1,0,21,
684472179271986443,Condo in Frederiksberg · ★5.0 · 1 bedroom · 1 bed · 1 bath,105660447,Frederik,,Frederiksberg,55.68751,12.54096,Entire home/apt,1125,5,7,2023-05-21,0.73,1,1,7,
